Mecânica, Oscilação e Ondas;;;
Programação Não linear I (ter-Lab 3);;;
Tóp Esp em info na Sociedade(LAB 3);;;
Organização de Dados II;;;
Computação Gráfica I - F3-013;;;
Economia - Ciência da Computação;;;
Tóp Esp Banco de Dados (Web Semântica);;;
Introdução a Redes;;;
Banco de Dados I (Sala F3 016);;;
Programação Linear I;;;
Lab. Sist. Info.II (Ofic. Obj. Interat.);;;
Trabalhando com Grandes Volumes de Dados;;;
Tóp. Esp. em Computação Gráfica;;;
Tóp Esp. Algorit. (Prog. Paralela c/GPU);;;
Redes Neurais sem peso;;;
Sistemas Operacionais II (Linux) - LAB 1;;;
Progr Paralela e Distribuída (LAB 2);;;
Data Warehousing Sup.Tomada de Decisões;;;
